시군구명,금연구역명,금연구역범위상세,금연구역구분,금연구역지정근거명,소재지도로명주소,소재지지번주소,관리기관명,위도,경도
마포구,대치상상학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 신촌로 222-1 , 2,3,4,5,7,8층 (아현동)",-,서울특별시 마포구청,37.556802,126.95041
마포구,대치써미트영어학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 독막로 278-4 , 202호, 301~302호 (대흥동, LS building)",-,서울특별시 마포구청,37.5451997049,126.943769
마포구,대치써미트영어학원제2관(고등관)학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 백범로 102 , 2,3,4층 (대흥동, 원흥빌딩)",-,서울특별시 마포구청,37.547395,126.942454
마포구,대치영재수학학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 독막로 268 , 종합상가동 3층 302,303,304호 (대흥동, 대흥동태영아파트)",-,서울특별시 마포구청,37.545662,126.942879
마포구,대치이강학원신촌캠퍼스학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 성미산로 121 , 경성문화회관 4층(연남동 369-1) (연남동)",-,서울특별시 마포구청,37.562962,126.920249
마포구,대치학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 굴레방로 27 , 보성상가 2층 201호, 6층 602호 (아현동)",-,서울특별시 마포구청,37.556477,126.955323
마포구,대치학원광흥창영어직영관학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 독막로 153 , 2층 (창전동)",-,서울특별시 마포구청,37.547724,126.93039
마포구,대치학원광흥창직영관학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 독막로 153 , 3층 (창전동)",-,서울특별시 마포구청,37.547721,126.930385
마포구,대한논리독서논술학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 독막로 264 , 4층 (대흥동, 숭문빌딩)",-,서울특별시 마포구청,37.545904,126.942562
마포구,대한논리미래N국어학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 독막로 264 , 5층 (대흥동, 숭문빌딩)",-,서울특별시 마포구청,37.545903,126.942565
마포구,대한논리속독학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,서울특별시 마포구 월드컵북로 210 (),-,서울특별시 마포구청,37.569221,126.905804
마포구,대한논리속독학회마포학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,서울특별시 마포구 도화4길 23 3층 (도화동),-,서울특별시 마포구청,37.56922,126.905808
마포구,더베스트국어전문학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 월드컵로 83 , 3층 일부(우측) (망원동)",-,서울특별시 마포구청,37.556192,126.909636
마포구,더원발레아카데미학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 마포대로 143 , 파크팰리스2 2층 202호~205호 (공덕동)",-,서울특별시 마포구청,37.547454,126.953094
마포구,더자람수학학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 큰우물로 62 , 4층 (용강동)",-,서울특별시 마포구청,37.541658,126.944957
마포구,더프리미엄신촌독서실,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 서강로 97 , 창전동삼성아파트상가동 303-307호 (창전동, 창전동삼성아파트)",-,서울특별시 마포구청,37.551935,126.932349
마포구,더힐이화발레학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 마포대로24길 17 , 2층 (아현동)",-,서울특별시 마포구청,37.554054,126.959226
마포구,도화선한국화학원,시설전체,학교교과보습학원                                                                                            ,국민건강증진법제9조,"서울특별시 마포구 서강로 138 , 2층 (노고산동, 영빌딩)",-,서울특별시 마포구청,37.554161,126.935977
