자치구명,시설 구분,주소,시설형태,규모(제곱미터)
강서구,강서구청,화곡로 302 강서구청 주차장 뒤편,개방형,25.0
강서구,강서구청,우장산로 66 강서구민회관 1층,개방형,7.0
강서구,영업주체,하늘길 233 골프연습장,개방형,3.0
강서구,강서구청,양천로 251 마곡실내배드민턴장 1층 추자창 뒤편,개방형,8.5
강서구,마곡대명투웨니퍼스트,강서로 443 마곡대명투웨니퍼스트 옥상,개방형,10.0
강서구,에스앤아이 강서,마곡중앙로 150 옥상,개방형,30.0
강서구,웰스바이오㈜,마곡중앙 8로 1길 16 1층 2곳,개방형,5.0
강서구,영업주체,마곡중앙6로 69 3층,완전개방형,10.0
강서구,영업주체,마곡중앙6로 65 지투프라자 3층,완전개방형,10.0
강서구,마곡헤리움 시티2차,마곡중앙5로 1길 25 1층 후문,완전개방형,20.0
강서구,마곡시티 오피스텔,마곡서로 170 1층  후문,완전개방형,10.0
강서구,벨리오 오피스텔,강서로 449 벨리오 오피스텔 옥상,완전개방형,10.0
강서구,메인텍,마곡중앙8로 3길 53 옥상,완전개방형,8.5
강서구,(주)라파스,마곡중앙8로 1길 62 옥상,완전개방형,7.0
강서구,FITI 시험연구원,마곡중앙8로 3길 79 옥상,완전개방형,10.0
강서구,마곡보타닉파크타워,공항대로 213 보타닉 파크타워 옥상,완전개방형,5.0
강서구,롯데중앙연구소,강서구 마곡중앙로 201 주차장 옆,폐쇄형,10.0
강서구,영업주체(공항공사),"하늘길 111, 김포공항화물청사 1층 옥외의 일부",폐쇄형,0.0
강서구,영업주체(공항공사),"하늘길 38, 김포공항국제선 옥외의 일부",폐쇄형,0.0
강서구,영업주체(공항공사),"하늘길 111, 김포공항국내선 옥외의 일부",폐쇄형,0.0
