자치구명,시설 구분,주소,시설형태,규모(제곱미터)
서초구,교보타워,교보타워(강남대로 465) 부지주차장 진입로 옆,개방형흡연구역,75
서초구,엘타워,강남대로 213 엘타워 뒤 주차장 진입로 옆,개방형흡연구역,76.5
서초구,센트럴시티,센트럴시티 경부선 건물 남쪽 외부 공간,개방형흡연구역,30
서초구,서초구보건소,사당역 1번 출구와 2번 출구 사이 보도,개방형흡연부스,6.5
서초구,서초구보건소,방배천복개도로 그린골프장방배동 452-1 앞,개방형흡연부스,8.1
서초구,서초구보건소,방배천복개도로 방배경찰서방배동 455-10 앞,개방형흡연부스,9
서초구,서초구보건소,방배동 438-38(서울시공공자전거 수리센터  앞) ,개방형흡연부스,8.1
서초구,서초구보건소,원지동 23 서초종합체육센터 입구,개방형흡연부스,6
서초구,서초구보건소,반포동 63-7(반포효성빌딩 페라리 매장 앞),개방형흡연부스,5.25
서초구,서초구보건소,서초대로 78길 42 서초동 1330-18 현대기림오피스텔 앞,개방형흡연부스,3.75
서초구,서초구보건소,서초대로 78길 24 서초동 1327-5 스타벅스 앞,개방형흡연부스,3.75
서초구,서초구보건소,방배역 3번출구 먹자골목 입구방배동 910-9 옆,개방형흡연부스,6
서초구,서초구보건소,강남역 7번 출구와 8번출구 사이 보도 서초동 1319-5 앞,개방형흡연부스,50
서초구,서초구보건소,방배천복개도로 명동칼국수(방배동 450-14) 앞,개방형흡연부스,9
서초구,서초구보건소,서희타워(서초동1366-4) 옆 이면도로,라인형흡연구역,9
서초구,서초구보건소,동산로2길 27 한성생고기 앞,라인형흡연구역,6
서초구,서초구보건소,논현로 27 소호정 주차장,라인형흡연구역,6
서초구,서초구보건소,양재천로19길 34 건물 앞 녹지 사이 보도,라인형흡연구역,6
서초구,서초구보건소,양재천로21길 3 건물 앞 보도 가각지점,라인형흡연구역,6
서초구,서초구보건소,강남대로 148 서울마더스성형외과 앞 녹지 사이 보도,라인형흡연구역,6
서초구,서초구보건소,남부순환로 2636 건물 우측 골목(오선채 좌측골목),라인형흡연구역,6
서초구,서초구보건소,강남대로30길 7 카센터 옆 기존 주차구역(영동교회 맞은편),라인형흡연구역,6
서초구,서초구보건소,강남대로8길 3 건물 앞 보도 끝지점,라인형흡연구역,6
서초구,서초구보건소,강남대로4길 5 카센터 앞 보도,라인형흡연구역,6
서초구,서초구보건소,강남대로6길 60-23 건물 후면 양재대로변 ,라인형흡연구역,6
서초구,서초구보건소,강남대로6길 16 건물 앞 녹지사이 보도,라인형흡연구역,6
서초구,서초구보건소,논현로1길 83 앞 녹지 옆 기존 흡연구역,라인형흡연구역,6
서초구,서초구보건소,강남대로8길 77 동산마을구립주차장 내,라인형흡연구역,6
서초구,우리동성개발,강남대로 221 양재환승주차장 세븐일레븐 편의점 옆,라인형흡연구역,10
서초구,서초구보건소,바우뫼로 128 비스텔타워 후면 전신주 주변,라인형흡연구역,6
서초구,서초구보건소,논현로1길 23 아파트 외부 보도 가각지점,라인형흡연구역,6
서초구,서초구보건소,양재동 261-22 양재천 족구장 기존 흡연구역,라인형흡연구역,6
서초구,서초구보건소,마방로10길 25 건물 주차장 기업은행 지주간판 도로,라인형흡연구역,6
서초구,센트럴시티,고속버스터미널역 3번출구 앞,부분개방형흡연구역,25
서초구,센트럴시티,센트럴시티 호남선 출입구 옆,부분개방형흡연부스,36
서초구,센트럴시티,센트럴시티 경부선 하차장 옆,부분개방형흡연부스,36
서초구,서울가정법원,서울가정행정법원 청사 출입계단 밑,부분개방형흡연실,4
서초구,서초구보건소,마방로2길 26 건물 앞 녹지사이 보도,비대면흡연부스,2
서초구,서초구보건소,서초동 1500-6 꽃마을1소공원 남측 부지 내 ,비대면흡연부스,7
서초구,서초구보건소,강남대로27 AT센터 앞,비대면흡연부스,2
서초구,서초구보건소,양재동 316 띠녹지 안,비대면흡연부스,2
서초구,서초구보건소,논현로 31 빌딩 앞 사거리 가각지점,비대면흡연부스,2
서초구,서초구보건소,강남대로10길 21 건물 앞 녹지사이 보도,비대면흡연부스,2
서초구,서초구보건소,강남대로27길 7-9 느린마을양조장 앞,비대면흡연부스,2
서초구,서초구보건소,바우뫼로21길 10 진입로 입구,비대면흡연부스,2
서초구,서초구보건소,양재천로21길 29 앞 녹지 사이 보도,비대면흡연부스,2
서초구,서초구보건소,논현로 71 평가옥 앞 ,비대면흡연부스,2
서초구,서초구청,서초구청 주차장 자판기 옆,폐쇄형흡연부스,10
