자치구명,시설 구분,주소,시설형태,규모(제곱미터)
서대문구,지오영빌딩,서울특별시 서대문구 성산로321,개방형,22
서대문구,서대문우체국,성산로20길 9,개방형,15
서대문구,상수도사업본부,서소문로51,개방형,9
서대문구,명지전문대,가좌로134,개방형,12
서대문구,서대문경찰서,통일로113,개방형,5
서대문구,서대문소방서,연희로182,개방형,25
서대문구,지오영빌딩,성산로321,개방형,22
서대문구,유인빌딩,신촌로183,개방형,7
서대문구,신촌빌딩,신촌로73,개방형,13
서대문구,대림통상,연희로142,개방형,30
서대문구,SK리쳄블,서소문로45,개방형,9
서대문구,종근당,충정로8,개방형,30
서대문구,골든브리지빌딩,충정로50,개방형,10
서대문구,웨스트게이트타워,충정로70,개방형,50
서대문구,충정빌딩,통일로135,개방형,25
서대문구,KT아현지사,경기대로9,개방형,6
서대문구,성공타워,수색로56,개방형,8
서대문구,영화의료기빌딩,성산로263,개방형,6
서대문구,현대백화점,연세로13,개방형,25
서대문구,KT가좌지사,응암로121,개방형,12
서대문구,한국방송예술진흥원,신촌로197,개방형,20
서대문구,현대백화점,신촌로83,개방형,100
서대문구,서대문우체국,성산로20길 9,개방형,8
서대문구,경기대학교,경기대로44,개방형,18
서대문구,서대문구청,연희로248,개방형,25
서대문구,KT&G,충정로60,개방형,20
서대문구,서대문우체국,성산로20길 9,개방형,9
서대문구,KT&G,충정로60,개방형,25
서대문구,국민연금공단,충정로36,개방형,15
서대문구,현대백화점,서울특별시 서대문구 신촌로83,개방형,100
서대문구,웨스트게이트타워,서울특별시 서대문구 충정로70,개방형,50
서대문구,충정빌딩,서울특별시 서대문구 통일로135,개방형,25
서대문구,KT아현지사,서울특별시 서대문구 경기대로9,개방형,6
서대문구,성공타워,서울특별시 서대문구 수색로56,개방형,8
서대문구,영화의료기빌딩,서울특별시 서대문구 성산로263,개방형,6
서대문구,현대백화점,서울특별시 서대문구 연세로13,개방형,25
서대문구,KT가좌지사,서울특별시 서대문구 응암로121,개방형,12
서대문구,한국방송예술진흥원,서울특별시 서대문구 신촌로197,개방형,20
서대문구,SK리쳄블,서울특별시 서대문구 서소문로45,개방형,9
서대문구,서대문우체국,서울특별시 서대문구 성산로20길 9,개방형,8
서대문구,경기대학교,서울특별시 서대문구 경기대로44,개방형,18
서대문구,골든브리지빌딩,서울특별시 서대문구 충정로50,개방형,10
서대문구,서대문구청,서울특별시 서대문구 연희로248,개방형,25
서대문구,KT&G,서울특별시 서대문구 충정로60,개방형,25
서대문구,국민연금공단,서울특별시 서대문구 충정로36,개방형,15
서대문구,서대문소방서,서울특별시 서대문구 연희로182,개방형,25
서대문구,서대문경찰서,서울특별시 서대문구 통일로113,개방형,5
서대문구,명지전문대,서울특별시 서대문구 가좌로134,개방형,12
서대문구,상수도사업본부,서울특별시 서대문구 서소문로51,개방형,9
서대문구,서대문우체국,서울특별시 서대문구 성산로20길 9,개방형,15
서대문구,대림통상,서울특별시 서대문구 연희로142,개방형,30
서대문구,신촌빌딩,서울특별시 서대문구 신촌로73,개방형,13
서대문구,유인빌딩,서울특별시 서대문구 신촌로183,개방형,7
서대문구,서대문우체국,서울특별시 서대문구 성산로20길 9,개방형,9
서대문구,KT&G,서울특별시 서대문구 충정로60,개방형,20
서대문구,종근당,서울특별시 서대문구 충정로8,개방형,30
서대문구,백상빌딩,서울특별시 서대문구 신촌로231,완전개방형,6
서대문구,YBM,신촌로113,완전개방형,15
서대문구,백상빌딩,신촌로231,완전개방형,6
서대문구,백련빌딩,연희로407,완전개방형,5
서대문구,YBM,서울특별시 서대문구 신촌로113,완전개방형,15
서대문구,백련빌딩,서울특별시 서대문구 연희로407,완전개방형,5
서대문구,경찰청,통일로97,완전폐쇄형,5
서대문구,서대문구청,연희로248,완전폐쇄형,35
서대문구,명지대,거북골로34,완전폐쇄형,15
서대문구,서대문구청,서울특별시 서대문구 연희로248,완전폐쇄형,35
서대문구,연세세브란스병원,서울특별시 서대문구 연세로50-1,완전폐쇄형,50
서대문구,경찰청,서울특별시 서대문구 통일로97,완전폐쇄형,5
서대문구,명지대,서울특별시 서대문구 거북골로34,완전폐쇄형,15
서대문구,연세세브란스병원,연세로50-1,완전폐쇄형,50
서대문구,동아일보,충정로29,폐쇄형,15
서대문구,디지털서울문화예술대,통일로37길 51,폐쇄형,12
서대문구,진양빌딩,경기대로47,폐쇄형,10
서대문구,충정타워,서울특별시 서대문구 서소문로21,폐쇄형,15
서대문구,풍산빌딩,서울특별시 서대문구 충정로23,폐쇄형,18
서대문구,디지털서울문화예술대,서울특별시 서대문구 통일로37길 51,폐쇄형,12
서대문구,진양빌딩,서울특별시 서대문구 경기대로47,폐쇄형,10
서대문구,동아일보,서울특별시 서대문구 충정로29,폐쇄형,15
서대문구,풍산빌딩,충정로23,폐쇄형,18
서대문구,충정타워,서소문로21,폐쇄형,15
