자치구명,시설 구분,주소,시설형태,규모(제곱미터)
양천구,홍익병원,홍익병원 옥상,개방형,7.0
양천구,현대41타워,현대41타워 부지,개방형,13.0
양천구,양천벤처타운 ,양천벤처타운 부지,개방형,6.0
양천구,상운맘모스빌딩,상운맘모스빌딩 옥상,개방형,6.2
양천구,KT 정보센터,KT 정보센터 부지,개방형,3.3
양천구,목동아이스링크,목동아이스링크 부지,개방형,6.5
양천구,서남병원,서남병원 부지,개방형,7.0
양천구,SBS,SBS 부지,개방형,16.5
양천구,KT 목동타워,KT 목동타워 부지,개방형,3.5
양천구,법무복지공단,법무복지공단 부지,개방형,7.0
양천구,출입국관리사무소,서울시 출입국관리사무소 부지,개방형,10.0
양천구,양천세무서,양천세무서 부지 우측,개방형,10.0
양천구,남부지방법원,남부지방법원 후문 옆,개방형,17.0
양천구,메디컬센터,메디컬센터 옥상,개방형,5.5
양천구,양천차고지,양천차고지 1층,개방형,3.7
양천구,이대목동병원,이대목동병원 부지,개방형,17.0
양천구,양천구청,양천구청 부지,완전개방형,8.0
양천구,방송회관,방송회관 7층,완전개방형,10.0
양천구,현대백화점,현대백화점 4층,완전개방형,15.0
양천구,양천경찰서,양천경찰서 부지,완전개방형,10.0
양천구,양천구청,해누리타운 4층 옥외정원,완전개방형,8.0
양천구,현대드림타워,현대드림타워 후문 부지,완전개방형,6.6
양천구,부영그린타운 3차,부영그린타운 3차 부지,완전개방형,6.5
