자치구명,시설 구분,시설형태,규모(제곱미터)
영등포구,금강펜테리움IT타워,개방형,12.0
영등포구,한국거래소 앞2,개방형,0.0
영등포구,양평 이노플렉스,개방형,17.0
영등포구,한서리버파크,개방형,19.0
영등포구,에이스테크노타워,개방형,15.0
영등포구,선유로코오롱디지털타워,개방형,0.0
영등포구,홍우빌딩,개방형,0.0
영등포구,삼성 코코빌,개방형,3.0
영등포구,정우빌딩,개방형,0.0
영등포구,월드메르디앙비즈센터,개방형,4.0
영등포구,맨하탄빌딩,개방형,10.0
영등포구,NH투자증권본사,개방형,0.0
영등포구,코레일유통,개방형,0.0
영등포구,한국우편사업진흥원,개방형,0.0
영등포구,대림중앙시장,개방형,0.0
영등포구,여의도 한화증권 앞,개방형,0.0
영등포구,여의도 오투타워 앞,개방형,0.0
영등포구,여의도 한화손해빌딩 앞,개방형,0.0
영등포구,한국교직원공제회관 앞,개방형,0.0
영등포구,여의도역3번출구 뒤쪽,개방형,0.0
영등포구,상희익스콘벤터타워 1,개방형,0.0
영등포구,상희익스콘벤터타워 2,개방형,0.0
영등포구,한국투자증권 앞,개방형,0.0
영등포구,한국거래소 앞1,개방형,0.0
영등포구,태양빌딩,개방형,10.0
영등포구,하나비즈타워,개방형,8.0
영등포구,파크원,개방형,0.0
영등포구,아이에스비즈타워 2차,개방형,5.0
영등포구,은석 오피스텔,개방형,13.0
영등포구,아이에스비즈타워 1차,개방형,0.0
영등포구,금융투자센터빌딩,개방형,14.0
영등포구,도림시장㈜,개방형,0.0
영등포구,우림이비지센터,개방형,10.0
영등포구,JB빌딩,개방형,37.0
영등포구,LG트윈타워빌딩,개방형,86.0
영등포구,영등포아트자이아파트,개방형,11.0
영등포구,오성빌딩,개방형,7.0
영등포구,에이스하이테크시티,개방형,551.0
영등포구,리버타워오피스텔,개방형,17.0
영등포구,고려빌딩,개방형,330.0
영등포구,SK V1 center,개방형,46.0
영등포구,데시잉루브,완전개방형,0.0
영등포구,홍진빌딩,완전개방형,0.0
영등포구,리앤나빌리지,완전개방형,0.0
영등포구,중앙빌딩,완전개방형,1033.0
영등포구,금강빌딩,완전개방형,2.0
영등포구,에이스 테크노타워,완전개방형,60.0
영등포구,프리가,완전개방형,10.0
영등포구,두일빌딩,완전개방형,165.0
영등포구,금산빌딩,완전개방형,50.0
영등포구,하우스디비즈 지식산업센터,완전개방형,50.0
영등포구,토산빌딩,완전개방형,0.0
영등포구,유성빌딩,완전개방형,1180.0
영등포구,대륭빌딩,완전개방형,0.0
영등포구,백상빌딩,완전개방형,5.0
영등포구,센터플러스,완전개방형,20.0
영등포구,"선유도우림아이온스밸리 A,B동",완전개방형,3.0
영등포구,타원벨라움,완전개방형,0.0
영등포구,데시앙루브,완전개방형,0.0
영등포구,문래임광그대가,완전개방형,3.0
영등포구,에이스하이테크시티2,완전개방형,314.0
영등포구,삼성타운,완전개방형,20.0
영등포구,제일빌딩,완전개방형,0.0
영등포구,트리플렉스,완전개방형,25.0
영등포구,아라비즈타워,완전개방형,42.0
영등포구,한양아이크랠스,완전개방형,19.0
영등포구,양평우림보보카운티,완전개방형,90.0
영등포구,가든빌딩,완전개방형,10.0
영등포구,한강프리젠,완전개방형,10.0
