자치구명,시설 구분,주소,시설형태
은평구,서부경찰서,진흥로 85,개방형
은평구,LG Bestshop 불광점,불광로 41,개방형
은평구,은평경찰서,불광로 20,개방형
은평구,파악불가,진관2로 15-8,개방형
은평구,진관동주민센터,진관2로 31,개방형
은평구,삼성전자디지털센터,통일로 760,개방형
은평구,한국환경산업개발원,진흥로215,개방형
은평구,정원빌딩,진흥로 235,개방형
은평구,비스포레스포츠센터,통일로 842,개방형
은평구,은평병원,백련산로 90,개방형
은평구,은평구립도서관,통일로 78가길 13-84,개방형1
은평구,서북병원,갈현로7길 49,개방형1
은평구,은평소방서,진관동120,개방형1
은평구,은평구청,은평로195,개방형1
은평구,서북병원,갈현로7길 49,개방형2
은평구,은평구립도서관,통일로 78가길 13-84,개방형2
은평구,은평구청,은평로195,개방형2
은평구,은평소방서,진관동120,개방형2
은평구,은평구립도서관,통일로 78가길 13-84,개방형3
은평구,은평구립도서관,통일로 78가길 13-84,개방형4
은평구,사랑빌리아드,진흥로 103-03404,폐쇄형
은평구,탑당구클럽,진관2로 15-46,폐쇄형
은평구,무지개 당구장,통일로 937,폐쇄형
은평구,PEEL빌리어드클럽,불광로 7,폐쇄형
은평구,J 당구장,통일로 82,폐쇄형
은평구,당구사랑,가좌로 321,폐쇄형
은평구,펀당구장,통일로 817,폐쇄형
은평구,지앤지당구장,응암로13길 24,폐쇄형
은평구,엔씨당구클럽,진흥로 148,폐쇄형
은평구,명품당구장,연서로 274,폐쇄형
은평구,SK빌리아드,연서로 295-1,폐쇄형
은평구,큐당구장,응암로22길 20,폐쇄형
은평구,하이런당구장,갈현로 186,폐쇄형
은평구,나인당구장,진관3로 22,폐쇄형
은평구,DS대대전용클럽,응암로 269,폐쇄형
은평구,JCC당구클럽,응암로 247,폐쇄형
은평구,원당구장,진흥로 105-6,폐쇄형
은평구,당구사랑,연서로 154,폐쇄형
은평구,Q당구장,갈현로 54-8,폐쇄형
은평구,원당구장,통일로69길 5,폐쇄형
은평구,클럽 빌리아트,갈현로 188,폐쇄형
은평구,달인당구장,은평로 229,폐쇄형
은평구,행운당구장,증산로9길 12,폐쇄형
은평구,월드당구클럽,응암로 178-1,폐쇄형
은평구,산성당구장,대서문길 9,폐쇄형
은평구,로열 빌리아드,연서로 317,폐쇄형
은평구,매니아 당구장,연서로27길 15,폐쇄형
은평구,뉴프로당구클럽,통일로 723,폐쇄형
은평구,SBS당구장,응암로 247,폐쇄형
은평구,수정당구장,연서로4길 6,폐쇄형
은평구,정석당구클럽,응암로 340-1,폐쇄형
은평구,당구지존,연서로27길 8-7,폐쇄형
은평구,로얄당구장,통일로87길 6,폐쇄형
은평구,킴스당구장,불광로 10,폐쇄형
은평구,프로당구장,진흥로 29,폐쇄형
은평구,지존당구장,가좌로 179,폐쇄형
은평구,세영당구장,증산서길 98,폐쇄형
은평구,허리우드당구장,응암로21길 16,폐쇄형
은평구,손똘 당구장,역말로 6,폐쇄형
은평구,대한당구클럽,연서로 296,폐쇄형
은평구,SBS당구장,불광로 95,폐쇄형
은평구,다빈치 당구장,진흥로 156,폐쇄형
은평구,제로100PC 연신내점,"연서로 195, 영보빌딩 지층 (갈현동)",폐쇄형
은평구,제로100PC 신사동점,"은평로 5, 2층 (신사동)",폐쇄형
은평구,탑PC,"은평로 169, 우리빌딩 2층 (응암동)",폐쇄형
은평구,로비토,"통일로 854 (불광동, 2층)",폐쇄형
은평구,머스트 (MUST),"연서로29길 17-4, 2층 (갈현동)",폐쇄형
은평구,원,불광로 46 (불광동),폐쇄형
은평구,희호프,"서오릉로 204 (갈현동, 지층)",폐쇄형
은평구,약속,"불광로 40, 지하1층 (불광동)",폐쇄형
은평구,리얼펍 불광점,"불광로 7 (대조동, 7층)",폐쇄형
은평구,허브카페,"통일로 863-4 (갈현동, 3층)",폐쇄형
은평구,사랑채 한방 찻집,"통일로 727 (대조동,,9호(지상2층))",폐쇄형
은평구,스핀볼링센터 연신내,"통일로 842, 범서빌딩 3층 (불광동)",폐쇄형
은평구,마리올라본점,"통일로 724-1, 1,2층 (불광동)",폐쇄형
은평구,궁전,"불광로 28 (대조동,(지상3층))",폐쇄형
은평구,녹번191,"은평로 187-4, 1~2층 (녹번동)",폐쇄형
은평구,궁전전통찻집,"불광로 25-1, 2층 (대조동, 디와이빌)",폐쇄형
은평구,북한산푸르지오아파트,통일로 660,폐쇄형
은평구,아이센스리그pc방 역촌점,"갈현로 61, 정화빌딩 지하1층 (역촌동)",폐쇄형
은평구,데스티니 PC방,"갈현로 14, 지하층 (신사동)",폐쇄형
은평구,아이센스리그PC 응암오거리점,"응암로13길 14, 지하1층 (응암동, 디우아르떼 아파트)",폐쇄형
은평구,3pop pc 카페,"연서로 73 (역촌동, 지하1층)",폐쇄형
은평구,짱구당구장,연서로29길 8-8,폐쇄형
은평구,K4당구장,서오릉로 110,폐쇄형
은평구,비바체 당구장,은평로 37,폐쇄형
은평구,아지트 당구장,연서로 91,폐쇄형
은평구,건준당구장,역말로 101,폐쇄형
은평구,뽀록구 당구장,역말로 20,폐쇄형
은평구,탑당구장,연서로34길 23,폐쇄형
은평구,김무순당구클럽,은평로 91,폐쇄형
은평구,킹당구장,은평로16길 18,폐쇄형
은평구,역촌당구장,진흥로1길 24,폐쇄형
은평구,브라보 퍼블릭 스크린,갈현로 300,폐쇄형
은평구,오복탕,갈현로 181-24,폐쇄형
은평구,대진대중탕,응암로 340-1,폐쇄형
은평구,신은평대중목욕탕,응암로22길 22-1,폐쇄형
은평구,은하수사우나,갈현로 100,폐쇄형
은평구,루하스사우나,통일로 1030,폐쇄형
은평구,킹콩 PC 방,"갈현로 39-1, 2층 (신사동)",폐쇄형
은평구,웹시티 PC방,"불광로 28, 3층 (대조동)",폐쇄형
은평구,리얼야구존 연신내,연서로29길 8-8,폐쇄형
은평구,원큐당구장,서오릉로 178,폐쇄형
은평구,플라틴당구장,은평로 46,폐쇄형
은평구,모아당구장,은평로 145,폐쇄형
은평구,우리당구장,"응암로11길 3, 3층",폐쇄형
은평구,메트로PC방,진관2로 15-46,폐쇄형
은평구,한국환경산업개발원,진흥로215,폐쇄형
은평구,가톨릭은평성모병원,통일로 1021,폐쇄형
은평구,BLISS PC방,응암로11길 3,폐쇄형
은평구,탐스PC카페,진흥로1길 34,폐쇄형
은평구,라이또PC 구파발역점,진관3로 22,폐쇄형
은평구,GPC방,은평로 205-5,폐쇄형
은평구,아이센스리그PC 응암본점,응암로22길 22-1,폐쇄형
은평구,샹떼PC방 역촌점,갈현로 82,폐쇄형
은평구,쿡몬스터PC카페,통일로 835,폐쇄형
은평구,N톡PC,서오릉로 192,폐쇄형
은평구,아이센스리그PC 역촌점,갈현로 61,폐쇄형
은평구,TOP PC,은평로 169,폐쇄형
은평구,제로100PC 녹번점,진흥로 148,폐쇄형
은평구,제로100PC 연신내점,연서로 195,폐쇄형
은평구,해피플스방,갈현로 15,폐쇄형
은평구,동양사우나,가좌로7길 11,폐쇄형
은평구,인터라켄,진관2로 29-21,폐쇄형
은평구,웹시티PC방,통일로 731,폐쇄형
은평구,제로100PC 은평구청점,은평로 192,폐쇄형
은평구,제로100PC 신사동점,은평로 5,폐쇄형
은평구,인터쿨,진흥로 112,폐쇄형
은평구,더조은PC카페,갈현로 188,폐쇄형
은평구,고릴라PC방(역촌역점),서오릉로 77,폐쇄형
은평구,알파PC방,통일로 850,폐쇄형
은평구,제노 PC방,연서로 320,폐쇄형
은평구,아이세븐 PC,연서로 213,폐쇄형
은평구,고릴라 응암1호점,은평로 136,폐쇄형
은평구,G카페PC,통일로 855-20,폐쇄형
은평구,플렉스PC,진흥로 144,폐쇄형
은평구,토마토PC방,서오릉로 178,폐쇄형
은평구,긱스타PC방,갈현로 39-1,폐쇄형
은평구,피씨앤푸드 녹번점,은평로 187-1,폐쇄형
은평구,WIN PC,역말로 82,폐쇄형
은평구,탐스PC카페(응암점),응암로 247,폐쇄형
은평구,하늘PC,통일로 855-20,폐쇄형
은평구,집(ZIP)PC CLUB,증산로7길 16,폐쇄형
은평구,긱스타PC CAFE,연서로32길3,폐쇄형
은평구,3POP PC CAFE,연서로 73,폐쇄형
은평구,아이센스리그PC 응암오거리점,응암로13길 14,폐쇄형
은평구,아즈텍 PC방,통일로 697,폐쇄형
은평구,당구의신,응암로13길 5,폐쇄형
은평구,서울기록원,통일로62길 7,폐쇄형
은평구,증산 당구장,증산로 307,폐쇄형
은평구,은행당구장,증산서길 153,폐쇄형
은평구,The좋은당구장,은평로 193-2,폐쇄형
은평구,은평구청,은평로195,폐쇄형
은평구,SBS선수당구장,응암로 247,폐쇄형
은평구,SBS 당구클럽,연서로29길 20,폐쇄형
은평구,영당구장,통일로87길 21,폐쇄형
은평구,반도당구장,통일로87길 5-9,폐쇄형
