자치구명,시설 구분,주소,시설형태,규모(제곱미터)
관악구,양지병원,서울특별시 관악구 남부순환로 1636,개방형,10
관악구,서울특별시 관악구청,서울특별시 관악구 관악로 145,개방형,17
관악구,서울특별시 관악구청,서울특별시 관악구 관악로 145,개방형,11
관악구,서울특별시 관악구청,서울특별시 관악구 관악로 145,개방형,12
관악구,강남고려병원,서울특별시 관악구 관악로 242,개방형,6
관악구,타임스트림 관리단,서울특별시 관악구 신림로 330 ,개방형,10
관악구,krtc,서울특별시 관악구 승방4길 14,개방형,10
관악구,르네상스쇼핑몰관리단,서울특별시 관악구 신림로 340,개방형,10
관악구,롯데백화점,서울특별시 관악구 봉천로 209,완전폐쇄형,16
관악구,서울특별시 관악구청,서울특별시 관악구 관악로 145,완전폐쇄형,9
관악구,관악문화관도서관,서울특별시 관악구 관악구 신림로3길 35,완전폐쇄형,3
관악구,서울특별시 관악구청,서울특별시 관악구 남부순환로234길 73,폐쇄형,6
