자치구명,시설 구분,주소,시설형태,규모(제곱미터)
성북구,성북구청,성북구청 12층 옥상,개방형,16.0
성북구,삼청각 한식당,삼청각 한식당 주차장 뒤,개방형,6.0
성북구,유타몰,유타몰 뒤,개방형,9.0
성북구,국민대학교,국민대학교 도서관 옆,개방형,30.0
성북구,국민대학교,국민대학교 북악관 뒤,개방형,30.0
성북구,성북중앙병원,성북중앙병원 옥상,개방형,4.0
성북구,성북구청,성북구청 12층 옥상,개방형,16.0
성북구,성북구청,성북구청 5층 휴게공간,개방형,3.0
성북구,성북중앙병원,성북중앙병원 옥상,개방형,4.0
성북구,국민대학교,국민대학교 도서관 옆,개방형,30.0
성북구,국민대학교,국민대학교 북악관 뒤,개방형,30.0
성북구,성북구청,성북구청 5층 휴게공간,개방형,3.0
성북구,성북구보건소,성북구보건소 10층 옥상,완전개방형,3.0
성북구,성북구보건소,성북구보건소 10층 옥상,완전개방형,3.0
성북구,밀르몽,밀르몽 옥상,완전폐쇄형,3.0
성북구,고대병원,고려대학교 안암병원출입구 앞 통행로,완전폐쇄형,8.8
성북구,이마트,이마트 미아점 주차동 1층,완전폐쇄형,10.0
성북구,이마트,이마트 미아점 주차동 1층,완전폐쇄형,10.0
성북구,고대병원,고려대학교 안암병원출입구 앞 통행로,완전폐쇄형,9.0
성북구,서경대학교,서경대 북악관 앞,폐쇄형,8.0
성북구,서경대학교,서경대 북악관 앞,폐쇄형,8.0
성북구,현대백화점,현대백화점 미아점 옥상,폐쇄형,75.9
성북구,한성대학교,한성대학교 학송관 옆,폐쇄형,10.0
성북구,한성대학교,한성대학교 학송관 옆,폐쇄형,10.0
성북구,현대백화점,현대백화점 미아점 옥상,폐쇄형,76.0
